epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1383.65,0.68975,3.65833,0.60207,0.65339,1.022,0.94021,0.98365,0.98794,0.81386,0.79646,0.8125,0.73928,0.21405,0.7296,3.726,0.48753,0.64419,1.12399,0.0012575,0.0012575,0.0012575
77,1402.16,0.67971,3.70251,0.62151,0.62569,1.08758,0.93344,1,0.99147,0.81782,0.97048,0.9375,0.935,0.25004,0.67286,3.61792,0.49247,0.61177,1.09056,0.0012476,0.0012476,0.0012476
78,1420.72,0.66205,3.54233,0.62156,0.65447,1.03931,0.92697,1,0.99147,0.84818,1,0.91876,0.98553,0.23108,0.60413,3.72689,0.48378,0.60749,1.04341,0.0012377,0.0012377,0.0012377
79,1439.32,0.63003,3.71668,0.58689,0.57213,0.9838,0.9381,0.94765,0.99147,0.85706,0.97169,0.875,0.97594,0.20939,0.59557,3.68198,0.48353,0.61574,1.01864,0.0012278,0.0012278,0.0012278
80,1457.82,0.68247,3.43798,0.62203,0.65032,1.06055,1,0.96111,0.995,0.86235,0.86811,0.82331,0.87593,0.23369,0.63211,3.76794,0.49087,0.6034,1.01957,0.0012179,0.0012179,0.0012179
81,1476.2,0.70766,3.21715,0.62904,0.68901,1.05671,0.99222,1,0.995,0.85188,0.99936,0.9375,0.935,0.26511,0.56481,3.78879,0.48366,0.55769,0.98589,0.001208,0.001208,0.001208
82,1494.7,0.6707,3.73096,0.60123,0.59726,1.0268,1,0.99472,0.995,0.89174,0.98854,0.9375,0.935,0.32228,0.52938,3.66797,0.47134,0.48722,0.98863,0.0011981,0.0011981,0.0011981
83,1513.98,0.64046,3.41979,0.58709,0.60835,1.03697,1,0.98866,0.995,0.90167,0.9213,0.875,0.84167,0.32154,0.54249,3.52918,0.46431,0.48991,0.99796,0.0011882,0.0011882,0.0011882
84,1533.36,0.643,2.89669,0.64387,0.54949,1.04944,0.93184,0.9375,0.96884,0.85398,0.93184,0.9375,0.92313,0.33517,0.58677,3.49179,0.46454,0.55678,1.0153,0.0011783,0.0011783,0.0011783
85,1552.64,0.67384,3.3463,0.61069,0.59975,1.04727,1,0.99509,0.995,0.86698,1,0.99509,0.995,0.35065,0.59815,3.37481,0.4881,0.51037,1.00875,0.0011684,0.0011684,0.0011684
86,1571.26,0.67777,2.9451,0.59361,0.66562,1.07959,1,0.9951,0.995,0.85313,0.99325,0.9375,0.935,0.33538,0.60063,3.40262,0.50108,0.52039,1.00549,0.0011585,0.0011585,0.0011585
87,1590.38,0.71185,3.19693,0.62451,0.63336,1.12293,0.94072,0.9922,0.99147,0.85815,0.98823,0.9375,0.935,0.33504,0.57673,3.47864,0.50135,0.52823,1.00064,0.0011486,0.0011486,0.0011486
88,1609.73,0.6967,3.77326,0.59772,0.61736,1.08331,0.9911,0.9375,0.98833,0.88497,0.9911,0.9375,0.935,0.33472,0.56079,3.53219,0.49313,0.51798,1.00574,0.0011387,0.0011387,0.0011387
89,1628.5,0.62161,3.06755,0.61374,0.55748,1.00682,0.99517,0.9375,0.96929,0.87472,0.85921,0.8125,0.78767,0.32318,0.60949,3.70707,0.49087,0.58659,1.04621,0.0011288,0.0011288,0.0011288
90,1647.79,0.66676,3.27377,0.61274,0.62501,1.01821,0.9932,0.9375,0.98833,0.85672,0.85954,0.8125,0.79644,0.31457,0.64692,3.74608,0.49461,0.58587,1.08834,0.0011189,0.0011189,0.0011189
91,1667.26,0.6511,3.56796,0.5943,0.60081,1.03383,0.99008,0.9375,0.99147,0.87521,0.92384,0.875,0.871,0.35622,0.6678,3.52178,0.48323,0.55046,1.11561,0.001109,0.001109,0.001109
92,1685.89,0.70224,3.39322,0.59223,0.61709,1.05248,0.98736,0.9375,0.98553,0.869,0.78989,0.75,0.71555,0.29583,0.64826,3.42069,0.47471,0.52954,1.12577,0.0010991,0.0010991,0.0010991
93,1704.61,0.72207,3.51597,0.62413,0.66084,1.10177,0.99025,0.9375,0.99147,0.86475,0.75896,0.8125,0.75063,0.26672,0.60243,3.46303,0.48706,0.50302,1.09125,0.0010892,0.0010892,0.0010892
94,1723.45,0.63695,3.00966,0.60328,0.58184,0.99744,1,0.99337,0.995,0.87385,0.79461,0.75,0.68961,0.23068,0.58743,3.4245,0.48849,0.49116,1.03476,0.0010793,0.0010793,0.0010793
